geoid20,Total Acreage,2011 Canopy Acreage,Canopy_2011,2021 Canopy Acreage,Canopy_2021,Canopy Change,Acreage Gain,Acreage Loss,Net Change,County Name
53033000101,103,69,67%,66,64%,-3%,4.4,7.5,-3,King
53033000102,365,305,83%,309,85%,2%,11.4,7.2,4.2,King
53033000201,446,403,90%,392,88%,-2%,8.5,19.1,-10.6,King
53033000202,366,343,94%,336,92%,-2%,2.3,9.5,-7.2,King
53033000300,299,268,89%,258,86%,-3%,3.9,13.5,-9.6,King
53033000402,444,380,86%,362,81%,-5%,7.4,25.8,-18.4,King
53033000403,181,142,78%,139,77%,-1%,5.3,7.8,-2.5,King
53033000404,156,76,49%,74,47%,-2%,4.2,6.5,-2.3,King
53033000500,700,689,98%,678,97%,-1%,0.4,11.2,-10.7,King
53033000601,354,314,89%,305,86%,-3%,5.8,14.8,-9,King
53033000602,596,407,68%,401,67%,-1%,22.2,28.4,-6.2,King
53033000700,320,260,81%,257,80%,-1%,6.2,9.1,-2.9,King
53033000800,282,277,98%,275,97%,-1%,1,2.9,-1.8,King
53033000900,249,225,91%,228,92%,1%,4.7,1.7,2.9,King
53033001000,236,201,85%,194,82%,-3%,2,8.8,-6.8,King
53033001100,262,253,97%,252,96%,-1%,1.5,3.2,-1.7,King
53033001201,249,109,44%,108,43%,-1%,16.9,17.7,-0.7,King
53033001202,203,174,86%,173,85%,-1%,4.3,5.1,-0.8,King
53033001300,292,215,74%,209,72%,-2%,6.8,12.8,-6,King
53033001400,532,498,94%,490,92%,-2%,6.5,14.1,-7.6,King
53033001500,283,278,98%,276,97%,-1%,0.9,3.6,-2.8,King
53033001600,473,414,88%,405,86%,-2%,9.4,19,-9.6,King
53033001701,221,173,78%,169,77%,-1%,7.6,11.6,-4,King
53033001702,316,288,91%,281,89%,-2%,3,10.3,-7.3,King
53033001800,234,180,77%,170,73%,-4%,6.1,15.6,-9.5,King
53033001900,412,339,82%,334,81%,-1%,12.1,16.5,-4.4,King
53033002000,280,245,88%,244,87%,-1%,5.8,6.6,-0.8,King
53033002100,337,327,97%,321,95%,-2%,1.3,6.6,-5.4,King
53033002200,694,680,98%,663,96%,-2%,3.8,20.5,-16.7,King
53033002400,238,224,94%,221,93%,-1%,2.3,5,-2.8,King
53033002500,243,224,92%,218,90%,-2%,1.6,7.5,-5.9,King
53033002600,308,262,85%,255,83%,-2%,4.7,11.2,-6.5,King
53033002700,392,345,88%,326,83%,-5%,3.3,22.3,-18.9,King
53033002800,244,221,91%,217,89%,-2%,3.1,7,-3.9,King
53033002900,244,231,95%,223,92%,-3%,1.5,9.5,-8,King
53033003000,369,347,94%,335,91%,-3%,2,14,-12,King
53033003100,533,502,94%,486,91%,-3%,2.5,19.1,-16.6,King
53033003201,286,187,66%,181,63%,-3%,4.2,10.9,-6.6,King
53033003202,236,224,95%,208,88%,-7%,2.5,18.6,-16,King
53033003301,165,147,89%,133,81%,-8%,2.8,16.2,-13.4,King
53033003302,155,130,84%,117,76%,-8%,1.4,14.6,-13.2,King
53033003400,195,182,94%,179,92%,-2%,2.8,5.9,-3.2,King
53033003500,317,299,94%,292,92%,-2%,4.2,11.1,-7,King
53033003601,167,147,88%,141,85%,-3%,2.1,7.8,-5.6,King
53033003602,129,81,63%,73,57%,-6%,4.9,12.8,-7.9,King
53033003800,154,143,93%,138,89%,-4%,1.1,5.8,-4.7,King
53033003900,241,224,93%,213,89%,-4%,1.8,12,-10.2,King
53033004000,619,359,58%,353,57%,-1%,28.2,33.7,-5.5,King
53033004101,394,369,94%,362,92%,-2%,3.6,10.3,-6.7,King
53033004102,418,391,94%,381,91%,-3%,3.5,13.7,-10.2,King
53033004201,307,294,96%,283,92%,-4%,1.8,12.9,-11.1,King
53033004202,302,270,89%,259,86%,-3%,2.6,13.6,-10.9,King
53033004301,242,193,80%,194,80%,0%,5.6,4.6,1.1,King
53033004302,82,66,80%,60,73%,-7%,2.2,8,-5.7,King
53033004401,172,160,93%,158,92%,-1%,2.7,4.2,-1.5,King
53033004402,73,48,66%,44,60%,-6%,2.4,6.2,-3.8,King
53033004500,166,146,88%,143,86%,-2%,1.2,3.9,-2.8,King
53033004600,639,352,55%,348,54%,-1%,9.7,14.1,-4.4,King
53033004701,149,24,16%,25,17%,1%,8.5,8,0.4,King
53033004702,66,27,41%,26,39%,-2%,4.7,5.7,-1.1,King
53033004703,299,97,33%,92,31%,-2%,5.9,10.5,-4.6,King
53033004800,318,266,84%,258,81%,-3%,6.1,13.4,-7.3,King
53033004901,123,101,83%,90,73%,-10%,4.8,16.3,-11.6,King
53033004902,147,98,66%,88,60%,-6%,4,14.1,-10.1,King
53033005000,187,149,80%,144,77%,-3%,7.2,12.7,-5.4,King
53033005100,218,203,93%,198,91%,-2%,2.3,7.8,-5.5,King
53033005201,174,133,76%,127,73%,-3%,4.5,10.3,-5.8,King
53033005202,67,32,49%,31,46%,-3%,3.5,5.4,-1.9,King
53033005303,571,359,63%,334,58%,-5%,28.1,53.4,-25.4,King
53033005304,18,10,54%,9,51%,-3%,1.4,1.9,-0.5,King
53033005305,53,7,14%,7,14%,0%,2.4,2.5,-0.1,King
53033005306,50,5,9%,5,10%,1%,1.8,1.5,0.3,King
53033005307,32,28,86%,26,80%,-6%,0.2,2.3,-2.1,King
53033005401,189,97,52%,97,52%,0%,10.6,10.6,0,King
53033005402,115,92,80%,92,80%,0%,4.9,4.8,0.1,King
53033005600,754,700,93%,672,89%,-4%,3.8,31.5,-27.7,King
53033005700,"1,260","1,038",82%,"1,038",82%,0%,36.9,37.1,-0.1,King
53033005801,454,263,58%,257,57%,-1%,11.8,18,-6.3,King
53033005803,206,195,95%,180,88%,-7%,2.2,16.9,-14.7,King
53033005804,582,207,35%,190,33%,-2%,11.2,28.2,-16.9,King
53033005901,191,143,75%,141,74%,-1%,5.2,7.6,-2.4,King
53033005902,253,239,95%,235,93%,-2%,1,5.6,-4.6,King
53033006000,333,285,86%,282,85%,-1%,9.8,13,-3.2,King
53033006100,277,205,74%,203,73%,-1%,12,14.4,-2.4,King
53033006200,595,543,91%,532,90%,-1%,6.9,17.3,-10.4,King
53033006300,653,623,95%,609,93%,-2%,6.3,20.2,-13.9,King
53033006400,223,220,98%,218,98%,0%,0.4,1.9,-1.5,King
53033006500,284,251,88%,240,85%,-3%,5.4,15.9,-10.5,King
53033006600,265,134,50%,135,51%,1%,17.9,16.4,1.5,King
53033006701,86,35,41%,37,43%,2%,7.5,5.5,2,King
53033006702,75,31,42%,34,45%,3%,5,2.6,2.4,King
53033006703,148,139,95%,134,91%,-4%,1.3,7.2,-5.8,King
53033006800,177,153,86%,152,85%,-1%,4.7,6.1,-1.4,King
53033006900,224,220,98%,215,96%,-2%,1.3,6.5,-5.2,King
53033007001,89,59,67%,62,70%,3%,6.2,3.3,2.9,King
53033007002,109,78,72%,76,70%,-2%,4.6,6.8,-2.2,King
53033007101,122,38,31%,39,32%,1%,7.2,6.4,0.8,King
53033007102,83,16,20%,19,23%,3%,6.3,3.5,2.8,King
53033007201,37,8,23%,9,25%,2%,3.2,2.2,1,King
53033007202,69,4,5%,8,11%,6%,4.8,1,3.8,King
53033007203,143,25,17%,26,18%,1%,5.8,4.2,1.6,King
53033007301,62,6,9%,9,14%,5%,4.5,1.1,3.4,King
53033007302,77,4,5%,8,10%,5%,5.4,1.3,4.1,King
53033007303,77,5,6%,5,7%,1%,2.1,1.7,0.5,King
53033007403,29,14,47%,13,46%,-1%,3.2,3.6,-0.4,King
53033007404,38,10,27%,12,31%,4%,3.4,1.8,1.7,King
53033007405,33,4,14%,7,21%,7%,3.7,1.3,2.5,King
53033007406,37,5,14%,8,22%,8%,3.6,0.7,2.9,King
53033007501,74,51,70%,50,68%,-2%,5.9,7.2,-1.3,King
53033007502,78,48,61%,43,55%,-6%,3.7,8.7,-4.9,King
53033007503,46,6,13%,7,16%,3%,2.1,0.8,1.3,King
53033007600,141,120,85%,115,82%,-3%,4.5,8.8,-4.3,King
53033007700,262,252,96%,243,93%,-3%,0.7,9.7,-9,King
53033007800,532,497,93%,495,93%,0%,5.9,7.2,-1.4,King
53033007901,66,49,74%,45,68%,-6%,2,6,-4,King
53033007902,107,92,86%,88,83%,-3%,3.2,7,-3.9,King
53033008002,58,4,7%,8,14%,7%,5.4,0.9,4.5,King
53033008003,49,5,10%,9,18%,8%,5.1,0.9,4.2,King
53033008004,75,13,17%,17,22%,5%,5.7,2,3.7,King
53033008101,69,2,3%,3,5%,2%,1.7,0.9,0.8,King
53033008102,138,7,5%,11,8%,3%,6,2.1,3.9,King
53033008200,93,23,25%,24,26%,1%,3.1,2.9,0.2,King
53033008300,59,10,17%,11,18%,1%,3.7,2.8,0.9,King
53033008401,62,24,40%,21,35%,-5%,4.4,7.5,-3.1,King
53033008402,36,5,13%,7,20%,7%,3.4,1.1,2.4,King
53033008500,111,46,42%,40,36%,-6%,6.8,13.3,-6.5,King
53033008600,176,114,65%,104,59%,-6%,8,17.8,-9.8,King
53033008700,181,163,90%,154,85%,-5%,2.4,11.2,-8.7,King
53033008800,234,215,92%,207,88%,-4%,2.9,10.6,-7.7,King
53033008900,318,291,92%,283,89%,-3%,4.3,11.6,-7.3,King
53033009000,211,137,65%,128,61%,-4%,7.8,16.3,-8.5,King
53033009100,101,27,26%,23,23%,-3%,5.9,9.4,-3.6,King
53033009200,82,15,19%,18,22%,3%,4.5,1.9,2.6,King
53033009300,"2,301",353,15%,369,16%,1%,49.3,33.8,15.6,King
53033009400,417,325,78%,305,73%,-5%,9.4,29.2,-19.9,King
53033009500,640,555,87%,545,85%,-2%,14.4,24,-9.6,King
53033009600,464,401,86%,387,83%,-3%,5.5,19.4,-13.9,King
53033009701,448,376,84%,353,79%,-5%,4.8,28.3,-23.5,King
53033009702,549,527,96%,507,92%,-4%,4.9,24.9,-20,King
53033009801,248,226,91%,219,88%,-3%,3.8,10.7,-6.9,King
53033009802,228,200,88%,189,83%,-5%,3.3,14.6,-11.3,King
53033009900,"1,631",729,45%,717,44%,-1%,26.6,39.4,-12.8,King
53033010001,575,446,77%,423,74%,-3%,15.9,38.5,-22.6,King
53033010002,234,211,90%,193,82%,-8%,1.9,20,-18.1,King
53033010101,215,165,76%,171,79%,3%,15.9,9.6,6.3,King
53033010102,403,340,84%,332,82%,-2%,6.1,14.2,-8.1,King
53033010200,719,670,93%,656,91%,-2%,6.8,20.8,-14,King
53033010301,248,206,83%,196,79%,-4%,2.7,12.5,-9.9,King
53033010302,156,117,75%,114,73%,-2%,7.2,9.5,-2.3,King
53033010401,403,363,90%,338,84%,-6%,7.3,32.5,-25.2,King
53033010402,431,363,84%,331,77%,-7%,3.2,35.4,-32.2,King
53033010501,183,138,75%,132,72%,-3%,4.9,10.9,-6,King
53033010502,241,204,85%,195,81%,-4%,4.4,13.6,-9.1,King
53033010601,269,247,92%,237,88%,-4%,4.2,13.9,-9.7,King
53033010602,358,332,93%,321,90%,-3%,4,14.9,-10.9,King
53033010701,361,321,89%,327,91%,2%,16.7,10.3,6.4,King
53033010702,193,137,71%,162,84%,13%,31.7,6.5,25.3,King
53033010800,"1,033",777,75%,757,73%,-2%,12.8,32.3,-19.5,King
53033010900,"1,335",141,11%,132,10%,-1%,28.1,37.7,-9.6,King
53033011001,267,197,74%,194,73%,-1%,14.3,16.8,-2.5,King
53033011002,425,332,78%,302,71%,-7%,6.9,36.7,-29.8,King
53033011101,281,237,85%,205,73%,-12%,4.6,37.3,-32.7,King
53033011102,326,295,91%,283,87%,-4%,3.6,16,-12.4,King
53033011200,621,308,50%,299,48%,-2%,25.6,34.2,-8.6,King
53033011300,855,742,87%,719,84%,-3%,10.6,33.2,-22.5,King
53033011401,305,267,88%,251,83%,-5%,4.8,20.1,-15.2,King
53033011402,293,218,74%,195,67%,-7%,7.1,29.3,-22.1,King
53033011500,380,355,93%,331,87%,-6%,3.6,27.3,-23.7,King
53033011601,383,378,99%,370,97%,-2%,1,8.9,-8,King
53033011602,389,369,95%,357,92%,-3%,2.5,14,-11.5,King
53033011700,869,632,73%,605,70%,-3%,14.4,41.6,-27.2,King
53033011801,296,247,83%,234,79%,-4%,7.3,20,-12.8,King
53033011802,295,260,88%,252,85%,-3%,4.4,12.6,-8.2,King
53033011901,416,389,93%,367,88%,-5%,2,23.7,-21.7,King
53033011902,385,372,97%,353,92%,-5%,1,19.8,-18.8,King
53033012000,355,347,98%,342,96%,-2%,0.8,6,-5.2,King
53033012100,424,399,94%,387,91%,-3%,0.4,12.8,-12.3,King
53033020100,432,401,93%,390,90%,-3%,3.4,14.9,-11.5,King
53033020200,640,597,93%,584,91%,-2%,6.9,19.6,-12.7,King
53033020301,321,253,79%,250,78%,-1%,6.3,9.7,-3.4,King
53033020302,322,276,86%,267,83%,-3%,4.3,13.1,-8.8,King
53033020401,572,473,83%,451,79%,-4%,9.8,31.8,-22,King
53033020402,689,669,97%,661,96%,-1%,4,12.7,-8.7,King
53033020500,673,625,93%,609,91%,-2%,6.4,22.3,-15.9,King
53033020600,489,420,86%,415,85%,-1%,14.2,19.4,-5.2,King
53033020700,423,309,73%,295,70%,-3%,9.2,23,-13.9,King
53033020800,816,782,96%,765,94%,-2%,2.8,19.4,-16.7,King
53033020900,"1,127","1,011",90%,995,88%,-2%,16,31.6,-15.6,King
53033021000,651,569,87%,549,84%,-3%,8.3,28.2,-19.9,King
53033021100,647,549,85%,536,83%,-2%,8.9,21.8,-12.9,King
53033021300,445,397,89%,391,88%,-1%,9.5,14.9,-5.4,King
53033021400,777,755,97%,752,97%,0%,4.4,7.4,-3.1,King
53033021500,874,836,96%,830,95%,-1%,2.5,8.5,-6,King
53033021600,720,628,87%,609,85%,-2%,6.6,25.1,-18.5,King
53033021701,636,591,93%,583,92%,-1%,13.3,21.4,-8,King
53033021702,753,540,72%,531,70%,-2%,23.3,32.3,-9,King
53033021802,"1,209","1,030",85%,977,81%,-4%,35.3,87.5,-52.3,King
53033021803,809,725,90%,699,86%,-4%,17.8,43.2,-25.4,King
53033021804,766,710,93%,691,90%,-3%,15.5,34.1,-18.6,King
53033021903,787,615,78%,600,76%,-2%,21.8,36.8,-15,King
53033021904,845,728,86%,720,85%,-1%,19.2,27.8,-8.6,King
53033021905,663,616,93%,599,90%,-3%,9.6,26.3,-16.7,King
53033021906,935,778,83%,770,82%,-1%,20,28.2,-8.3,King
53033022001,"1,106","1,052",95%,"1,043",94%,-1%,17.2,25.4,-8.2,King
53033022003,557,533,96%,528,95%,-1%,2.9,7.8,-5,King
53033022005,598,507,85%,495,83%,-2%,13.2,25.2,-11.9,King
53033022006,348,323,93%,316,91%,-2%,5.1,12.1,-7,King
53033022101,881,852,97%,837,95%,-2%,5.4,21,-15.7,King
53033022102,"1,156","1,110",96%,"1,115",96%,0%,23.7,18.6,5.2,King
53033022201,566,535,95%,521,92%,-3%,6.6,20.3,-13.7,King
53033022203,783,733,94%,719,92%,-2%,5.5,19.9,-14.4,King
53033022204,396,382,97%,377,95%,-2%,1.3,6.4,-5.2,King
53033022205,250,227,91%,223,89%,-2%,3.7,7.2,-3.5,King
53033022300,"1,270","1,208",95%,"1,203",95%,0%,5.2,10.2,-5,King
53033022401,594,564,95%,553,93%,-2%,4.6,16.2,-11.7,King
53033022402,567,499,88%,475,84%,-4%,10.5,34.3,-23.9,King
53033022501,611,560,92%,556,91%,-1%,9.2,13,-3.9,King
53033022502,314,220,70%,200,64%,-6%,12.4,32.7,-20.2,King
53033022603,719,642,89%,637,89%,0%,17.8,22.5,-4.7,King
53033022604,729,613,84%,605,83%,-1%,17.9,26.3,-8.4,King
53033022605,"1,168","1,053",90%,"1,026",88%,-2%,19.9,46.5,-26.6,King
53033022606,688,648,94%,645,94%,0%,9.6,12.7,-3.1,King
53033022701,395,345,87%,331,84%,-3%,11.5,25.2,-13.7,King
53033022702,607,585,96%,573,94%,-2%,6.2,18.4,-12.2,King
53033022703,"1,035",974,94%,959,93%,-1%,5,19.7,-14.7,King
53033022802,657,627,95%,609,93%,-2%,4,22.3,-18.3,King
53033022803,"1,179",905,77%,855,73%,-4%,51.1,100.4,-49.3,King
53033022804,252,223,88%,217,86%,-2%,8.6,14,-5.4,King
53033022805,950,900,95%,899,95%,0%,9.4,10.7,-1.3,King
53033022901,367,357,97%,355,97%,0%,2.9,5.4,-2.5,King
53033022902,869,829,95%,823,95%,0%,9.6,15.8,-6.2,King
53033023000,825,763,92%,750,91%,-1%,10.5,22.9,-12.4,King
53033023100,627,610,97%,587,94%,-3%,3.7,26.1,-22.4,King
53033023201,388,336,87%,316,81%,-6%,9.7,29.6,-19.9,King
53033023202,368,284,77%,276,75%,-2%,13,21.4,-8.4,King
53033023300,948,815,86%,760,80%,-6%,11.4,66.4,-55,King
53033023401,916,717,78%,710,78%,0%,33,40,-7.1,King
53033023403,832,741,89%,735,88%,-1%,17.9,24.3,-6.4,King
53033023404,454,418,92%,414,91%,-1%,9.7,13.4,-3.7,King
53033023500,604,565,93%,552,91%,-2%,7,19.1,-12.1,King
53033023601,"1,143",997,87%,979,86%,-1%,18.7,36.8,-18.1,King
53033023603,499,452,91%,435,87%,-4%,15,31.8,-16.8,King
53033023604,718,660,92%,641,89%,-3%,8.5,27.7,-19.3,King
53033023701,"1,036",964,93%,960,93%,0%,12.9,17.6,-4.7,King
53033023702,869,379,44%,346,40%,-4%,37.7,70.1,-32.5,King
53033023801,895,793,89%,752,84%,-5%,23.7,64.2,-40.5,King
53033023805,81,18,22%,20,25%,3%,5.9,3.7,2.2,King
53033023806,58,18,31%,21,37%,6%,6.4,3.1,3.3,King
53033023807,219,65,30%,64,29%,-1%,11.1,12.4,-1.3,King
53033023808,76,21,27%,19,25%,-2%,4.7,5.9,-1.2,King
53033023901,609,578,95%,569,93%,-2%,8.2,17.2,-9,King
53033023902,601,548,91%,536,89%,-2%,7.6,20.2,-12.6,King
53033024001,695,663,95%,660,95%,0%,11.2,14.8,-3.6,King
53033024002,401,372,93%,366,91%,-2%,5.1,11.4,-6.3,King
53033024100,"1,103","1,057",96%,"1,041",94%,-2%,11.7,27.6,-15.9,King
53033024200,913,859,94%,842,92%,-2%,8.7,25.8,-17.1,King
53033024301,341,279,82%,265,78%,-4%,8.1,22.3,-14.2,King
53033024302,693,641,93%,632,91%,-2%,8.2,17.3,-9.2,King
53033024400,417,383,92%,381,91%,-1%,5.7,7.9,-2.1,King
53033024500,953,912,96%,903,95%,-1%,4.6,14.3,-9.7,King
53033024601,986,962,98%,954,97%,-1%,3.9,11.1,-7.3,King
53033024602,717,680,95%,671,94%,-1%,4,13.4,-9.5,King
53033024701,652,583,89%,567,87%,-2%,9.2,25.2,-16,King
53033024703,927,900,97%,876,95%,-2%,5.5,28.8,-23.2,King
53033024704,654,603,92%,595,91%,-1%,17.4,24.9,-7.6,King
53033024800,932,754,81%,734,79%,-2%,28.8,48.6,-19.8,King
53033024901,747,736,98%,726,97%,-1%,3.3,12.9,-9.5,King
53033024902,502,496,99%,493,98%,-1%,2.2,5.3,-3.1,King
53033024904,515,512,99%,510,99%,0%,0.2,1.8,-1.6,King
53033024905,712,701,98%,698,98%,0%,4,6.8,-2.8,King
53033025001,921,873,95%,864,94%,-1%,8.7,16.7,-8,King
53033025005,"1,899","1,683",89%,"1,668",88%,-1%,22.3,36.7,-14.4,King
53033025006,"5,538","5,296",96%,"5,284",95%,-1%,34.2,45.9,-11.8,King
53033025007,"1,032","1,003",97%,"1,003",97%,0%,4.9,4.5,0.4,King
53033025008,559,552,99%,547,98%,-1%,1.1,6.3,-5.2,King
53033025101,725,665,92%,647,89%,-3%,8.7,26.8,-18.1,King
53033025103,395,324,82%,337,85%,3%,30.8,17.5,13.2,King
53033025104,"1,145","1,007",88%,"1,013",89%,1%,39,32.4,6.6,King
53033025201,420,396,94%,387,92%,-2%,8.1,17.2,-9.2,King
53033025202,684,615,90%,592,87%,-3%,13.2,36.4,-23.2,King
53033025302,"1,001",352,35%,320,32%,-3%,45,77,-32,King
53033025303,467,174,37%,179,38%,1%,27.2,22.2,4.9,King
53033025304,439,411,94%,398,91%,-3%,6.7,19.9,-13.2,King
53033025401,296,216,73%,185,63%,-10%,7.8,38.3,-30.5,King
53033025402,272,240,88%,224,82%,-6%,4.3,20.5,-16.2,King
53033025500,377,336,89%,321,85%,-4%,8.8,24.3,-15.5,King
53033025601,694,538,78%,541,78%,0%,31.4,28.4,3,King
53033025602,"1,302","1,214",93%,"1,212",93%,0%,35.8,38.4,-2.7,King
53033025702,688,669,97%,651,95%,-2%,4.2,22.2,-18,King
53033025703,233,216,93%,205,88%,-5%,2.9,14.2,-11.4,King
53033025704,722,642,89%,627,87%,-2%,12.1,26.4,-14.3,King
53033025803,332,305,92%,295,89%,-3%,6.6,16.8,-10.2,King
53033025804,584,548,94%,530,91%,-3%,6.3,24.2,-17.8,King
53033025805,600,553,92%,541,90%,-2%,10,22.3,-12.3,King
53033025806,763,685,90%,658,86%,-4%,17.9,45.6,-27.7,King
53033026001,657,611,93%,588,89%,-4%,5.3,28.5,-23.1,King
53033026003,280,215,77%,214,76%,-1%,10.6,11.2,-0.6,King
53033026004,404,371,92%,358,89%,-3%,4.9,18.2,-13.3,King
53033026101,670,594,89%,555,83%,-6%,8.7,47.4,-38.7,King
53033026102,390,352,90%,338,87%,-3%,4.9,18.6,-13.7,King
53033026200,"3,928","2,155",55%,"2,031",52%,-3%,177.7,301.9,-124.2,King
53033026300,"1,063",487,46%,456,43%,-3%,27.1,58.2,-31.2,King
53033026400,"1,185",834,70%,802,68%,-2%,29.8,61.5,-31.7,King
53033026500,506,388,77%,384,76%,-1%,31.1,35.3,-4.2,King
53033026600,287,251,87%,240,84%,-3%,3.6,14.4,-10.8,King
53033026700,743,711,96%,689,93%,-3%,2.5,24.4,-21.9,King
53033026801,382,316,83%,288,75%,-8%,7.4,35.8,-28.4,King
53033026802,508,415,82%,395,78%,-4%,18,37.9,-19.9,King
53033027000,492,473,96%,456,93%,-3%,2.6,20,-17.4,King
53033027100,387,359,93%,343,89%,-4%,4.2,20.2,-16,King
53033027200,816,546,67%,536,66%,-1%,31.2,41.1,-9.9,King
53033027300,878,730,83%,698,79%,-4%,10.8,43.3,-32.4,King
53033027400,822,724,88%,665,81%,-7%,10.9,70,-59.1,King
53033027500,551,470,85%,433,79%,-6%,9.3,46.1,-36.7,King
53033027600,673,648,96%,634,94%,-2%,2.4,16.5,-14.1,King
53033027701,"10,948","9,917",91%,"9,775",89%,-2%,92.3,234.4,-142.1,King
53033027702,"12,743","11,376",89%,"11,213",88%,-1%,117.4,280.1,-162.7,King
53033027800,625,604,97%,597,96%,-1%,0.8,7.8,-7,King
53033027901,500,433,87%,425,85%,-2%,9.7,18,-8.4,King
53033027902,368,187,51%,177,48%,-3%,12,22.2,-10.2,King
53033028000,482,347,72%,320,66%,-6%,17.9,44.3,-26.4,King
53033028100,393,282,72%,270,69%,-3%,9.7,21.8,-12.1,King
53033028200,657,553,84%,543,83%,-1%,23.2,33,-9.8,King
53033028300,"2,049","1,280",62%,"1,235",60%,-2%,119.1,164.1,-45.1,King
53033028402,"2,105",576,27%,536,25%,-2%,41,80.4,-39.3,King
53033028403,521,356,68%,336,64%,-4%,16,36.2,-20.1,King
53033028500,867,706,81%,681,79%,-2%,21.2,46.2,-24.9,King
53033028600,"1,581","1,474",93%,"1,461",92%,-1%,20.4,33.2,-12.8,King
53033028700,661,618,93%,592,90%,-3%,6.5,32.1,-25.6,King
53033028801,"1,290",983,76%,901,70%,-6%,43.1,125.5,-82.4,King
53033028802,695,504,73%,473,68%,-5%,12.9,44.4,-31.5,King
53033028901,563,462,82%,440,78%,-4%,12.7,34.7,-22,King
53033028902,510,410,80%,382,75%,-5%,13.7,41.4,-27.6,King
53033029001,627,595,95%,579,92%,-3%,5.2,20.7,-15.5,King
53033029003,635,562,89%,550,87%,-2%,12.5,24.7,-12.2,King
53033029004,452,255,57%,237,52%,-5%,10.7,29.1,-18.4,King
