geoid20,Total Acreage,2011 Canopy Acreage,Canopy_2011,2021 Canopy Acreage,Canopy_2021,Canopy Change,Acreage Gain,Acreage Loss,Net Change,County Name
53033029101,874,706,81%,692,79%,-2%,24.8,38.5,-13.7,King
53033029102,634,572,90%,540,85%,-5%,5.7,37.7,-32,King
53033029203,496,303,61%,284,57%,-4%,19.1,37.6,-18.5,King
53033029205,472,321,68%,324,69%,1%,29.9,27.7,2.2,King
53033029206,"4,323","1,576",36%,"1,415",33%,-3%,186.6,347.9,-161.3,King
53033029207,558,532,95%,524,94%,-1%,7.2,15.1,-7.9,King
53033029208,489,381,78%,366,75%,-3%,8.7,24.2,-15.6,King
53033029304,"1,029",990,96%,970,94%,-2%,8,27.6,-19.6,King
53033029305,716,680,95%,664,93%,-2%,13.2,29.5,-16.3,King
53033029306,632,542,86%,538,85%,-1%,22.7,27.5,-4.8,King
53033029307,956,894,93%,877,92%,-1%,4.2,21.9,-17.7,King
53033029308,333,303,91%,293,88%,-3%,5.8,16.1,-10.3,King
53033029309,559,510,91%,502,90%,-1%,13.1,21.2,-8.2,King
53033029403,595,551,93%,540,91%,-2%,12.3,23.3,-10.9,King
53033029405,616,599,97%,591,96%,-1%,6.3,14.2,-7.9,King
53033029406,670,633,94%,633,95%,1%,13.5,13,0.6,King
53033029407,330,281,85%,262,80%,-5%,5,23.2,-18.2,King
53033029408,312,287,92%,274,88%,-4%,3.1,15.4,-12.3,King
53033029504,465,391,84%,363,78%,-6%,12.6,41,-28.4,King
53033029505,348,281,81%,265,76%,-5%,7.9,23.8,-15.9,King
53033029506,236,149,63%,148,63%,0%,12.5,13.3,-0.9,King
53033029507,432,392,91%,384,89%,-2%,7.3,15.3,-8,King
53033029508,642,527,82%,529,82%,0%,27.7,26,1.7,King
53033029602,"1,659","1,382",83%,"1,408",85%,2%,84.3,59.1,25.2,King
53033029603,383,358,93%,354,92%,-1%,8.1,12,-4,King
53033029604,611,544,89%,537,88%,-1%,13.9,21.5,-7.6,King
53033029701,850,665,78%,624,73%,-5%,15.1,56.4,-41.3,King
53033029702,"1,970","1,316",67%,"1,243",63%,-4%,59.9,133.3,-73.4,King
53033029803,"1,372",801,58%,742,54%,-4%,21,80.3,-59.3,King
53033029804,619,583,94%,571,92%,-2%,7.1,18.6,-11.5,King
53033029805,783,722,92%,700,89%,-3%,9.3,30.8,-21.5,King
53033029806,954,755,79%,723,76%,-3%,17.6,49.8,-32.2,King
53033029901,"1,005",914,91%,874,87%,-4%,6.6,46,-39.4,King
53033029902,"1,543","1,375",89%,"1,343",87%,-2%,29.8,62.5,-32.7,King
53033030003,"1,132","1,024",90%,991,88%,-2%,16.1,49.3,-33.3,King
53033030005,535,467,87%,432,81%,-6%,10.3,45.7,-35.4,King
53033030006,533,295,55%,289,54%,-1%,21.5,27.5,-6,King
53033030007,159,133,84%,131,82%,-2%,6.4,8.6,-2.2,King
53033030008,348,332,96%,319,92%,-4%,4.8,18.2,-13.4,King
53033030101,809,773,96%,765,95%,-1%,6.7,14.4,-7.7,King
53033030102,639,623,98%,613,96%,-2%,3.7,14.1,-10.4,King
53033030201,710,659,93%,643,91%,-2%,4.5,21.3,-16.8,King
53033030203,368,311,85%,296,81%,-4%,6,20.9,-14.8,King
53033030204,442,357,81%,343,78%,-3%,9.1,22.6,-13.5,King
53033030304,"1,862","1,615",87%,"1,575",85%,-2%,35,74.9,-39.9,King
53033030305,945,905,96%,894,95%,-1%,7.1,19,-11.8,King
53033030306,932,894,96%,892,96%,0%,6.3,8.7,-2.4,King
53033030308,532,512,96%,513,96%,0%,6.9,6.4,0.5,King
53033030309,549,512,93%,506,92%,-1%,9.8,16,-6.2,King
53033030310,792,719,91%,729,92%,1%,32.2,22.4,9.8,King
53033030311,471,453,96%,442,94%,-2%,2,12.7,-10.7,King
53033030312,458,437,96%,431,94%,-2%,2.3,8.7,-6.4,King
53033030313,"1,004",617,61%,616,61%,0%,52,53,-1.1,King
53033030314,616,484,79%,477,77%,-2%,24,31,-7,King
53033030403,930,791,85%,776,83%,-2%,24.7,39.9,-15.2,King
53033030404,"1,536","1,422",93%,"1,386",90%,-3%,19.2,55.4,-36.2,King
53033030405,"1,240","1,140",92%,"1,119",90%,-2%,22.9,43.3,-20.3,King
53033030406,680,624,92%,615,90%,-2%,9.9,19.1,-9.2,King
53033030407,"1,157",929,80%,921,80%,0%,38.6,46.9,-8.3,King
53033030501,"2,820","1,235",44%,"1,127",40%,-4%,109.1,216.4,-107.3,King
53033030503,787,463,59%,443,56%,-3%,65.2,84.9,-19.8,King
53033030504,387,297,77%,277,71%,-6%,12.5,32.6,-20.1,King
53033030600,854,688,81%,638,75%,-6%,21.9,72.3,-50.4,King
53033030700,384,271,71%,224,58%,-13%,12.4,59.3,-46.9,King
53033030801,"1,728",663,38%,569,33%,-5%,40.6,134.3,-93.7,King
53033030802,342,291,85%,250,73%,-12%,4.6,45.1,-40.4,King
53033030901,771,562,73%,524,68%,-5%,20.2,58,-37.7,King
53033030902,977,756,77%,719,74%,-3%,44.7,81.6,-36.9,King
53033031000,"3,152","2,461",78%,"2,443",77%,-1%,101.7,120.4,-18.7,King
53033031101,"1,249",839,67%,803,64%,-3%,32.1,68.5,-36.4,King
53033031102,588,475,81%,433,74%,-7%,5.8,48.3,-42.5,King
53033031202,"16,705","10,102",60%,"9,794",59%,-1%,182.9,490.8,-307.8,King
53033031204,"9,262","7,568",82%,"7,488",81%,-1%,170.1,250.1,-80,King
53033031206,913,860,94%,857,94%,0%,17.4,20.4,-3,King
53033031207,807,669,83%,663,82%,-1%,30.3,36.9,-6.6,King
53033031208,657,629,96%,618,94%,-2%,9.6,20,-10.5,King
53033031301,"8,264","3,027",37%,"2,987",36%,-1%,110.5,149.8,-39.3,King
53033031302,"2,706",989,37%,957,35%,-2%,35.2,66.4,-31.2,King
53033031400,"1,573",989,63%,912,58%,-5%,22.8,99.8,-77,King
53033031501,"40,226","38,320",95%,"38,161",95%,0%,362.9,522.2,-159.3,King
53033031502,"252,545","244,069",97%,"245,137",97%,0%,3681.2,2612.9,1068.3,King
53033031601,"3,729","3,244",87%,"3,188",86%,-1%,44.4,100,-55.6,King
53033031603,"14,206","13,017",92%,"12,756",90%,-2%,263.6,524.3,-260.7,King
53033031604,"1,027",869,85%,845,82%,-3%,59.2,83.8,-24.7,King
53033031605,"4,190","3,485",83%,"3,404",81%,-2%,52.7,133.3,-80.5,King
53033031704,"1,416","1,209",85%,"1,156",82%,-3%,21.9,75.3,-53.4,King
53033031705,"1,249","1,043",84%,"1,022",82%,-2%,28.4,49.6,-21.1,King
53033031707,920,857,93%,852,93%,0%,17.3,22.7,-5.4,King
53033031708,"1,003",769,77%,750,75%,-2%,15.6,34.8,-19.2,King
53033031709,535,449,84%,464,87%,3%,34.5,18.8,15.7,King
53033031710,504,364,72%,338,67%,-5%,21.5,48.1,-26.6,King
53033031800,"6,319","5,536",88%,"5,473",87%,-1%,67,129.3,-62.2,King
53033031904,"4,709","3,709",79%,"3,557",76%,-3%,44,196.5,-152.6,King
53033031906,"2,756","2,462",89%,"2,438",88%,-1%,17.3,41.9,-24.6,King
53033031908,451,405,90%,399,88%,-2%,8.3,14.2,-5.9,King
53033031909,473,442,93%,442,93%,0%,5.6,5.7,-0.1,King
53033031910,821,785,96%,780,95%,-1%,14,19,-5,King
53033031911,592,573,97%,578,98%,1%,8.9,4.2,4.7,King
53033031912,"1,896","1,701",90%,"1,671",88%,-2%,14.2,44.1,-29.9,King
53033031913,"1,006",947,94%,928,92%,-2%,15.9,34.1,-18.2,King
53033032002,"6,857","6,180",90%,"6,076",89%,-1%,98.8,203,-104.2,King
53033032003,"30,142","29,180",97%,"28,995",96%,-1%,181.9,366.3,-184.4,King
53033032005,"1,577","1,366",87%,"1,316",83%,-4%,31,80.1,-49.1,King
53033032006,"1,912","1,784",93%,"1,770",93%,0%,34.5,49.3,-14.7,King
53033032007,"2,912","2,648",91%,"2,601",89%,-2%,27.1,74.3,-47.2,King
53033032008,606,558,92%,559,92%,0%,7.5,6.9,0.6,King
53033032010,"1,305","1,145",88%,"1,111",85%,-3%,30.5,64.6,-34.1,King
53033032011,890,746,84%,731,82%,-2%,23.1,38,-14.9,King
53033032102,"19,719","19,189",97%,"19,148",97%,0%,131.5,172.6,-41,King
53033032103,985,780,79%,763,77%,-2%,29.1,46.8,-17.7,King
53033032104,"5,505","5,276",96%,"5,251",95%,-1%,15.8,40.4,-24.6,King
53033032207,"1,230","1,061",86%,"1,057",86%,0%,14.2,17.6,-3.4,King
53033032211,735,702,96%,694,94%,-2%,4.6,13,-8.4,King
53033032213,"1,070",978,91%,978,91%,0%,8.9,9,-0.1,King
53033032215,"3,944","3,595",91%,"3,588",91%,0%,58.7,66,-7.3,King
53033032216,"1,069","1,002",94%,"1,001",94%,0%,22.9,23.7,-0.8,King
53033032217,"1,423","1,358",95%,"1,367",96%,1%,27.3,18.6,8.7,King
53033032218,"1,090","1,009",93%,"1,003",92%,-1%,24.3,30.6,-6.2,King
53033032219,"1,632","1,314",80%,"1,294",79%,-1%,43.5,63,-19.6,King
53033032220,"1,505","1,128",75%,"1,143",76%,1%,83.1,67.9,15.2,King
53033032221,"8,792","8,279",94%,"8,263",94%,0%,86.5,102.8,-16.3,King
53033032222,317,291,92%,288,91%,-1%,3.1,5.9,-2.8,King
53033032223,527,502,95%,506,96%,1%,9.3,5,4.4,King
53033032224,746,708,95%,691,93%,-2%,8,24.6,-16.6,King
53033032225,952,865,91%,868,91%,0%,20.2,16.9,3.3,King
53033032307,"2,922","2,796",96%,"2,787",95%,-1%,11.9,21.3,-9.4,King
53033032311,"5,881","5,650",96%,"5,613",95%,-1%,17.6,54.1,-36.5,King
53033032313,"3,232","2,146",66%,"2,123",66%,0%,125.4,148.4,-23,King
53033032315,"11,335","9,312",82%,"9,128",81%,-1%,143.3,327.8,-184.6,King
53033032316,"1,545","1,475",95%,"1,462",95%,0%,9.1,21.9,-12.8,King
53033032317,"1,086","1,078",99%,"1,073",99%,0%,2.4,6.9,-4.4,King
53033032318,"1,817","1,718",95%,"1,705",94%,-1%,18.3,31.3,-13,King
53033032319,"1,697","1,204",71%,"1,198",71%,0%,54.9,60.6,-5.7,King
53033032320,"2,397","2,296",96%,"2,281",95%,-1%,19.8,35.1,-15.3,King
53033032321,"3,158","2,261",72%,"2,257",71%,-1%,74.1,77.9,-3.8,King
53033032322,"1,144","1,122",98%,"1,118",98%,0%,3.3,7.1,-3.9,King
53033032323,813,760,93%,762,94%,1%,16.4,13.7,2.7,King
53033032324,506,476,94%,470,93%,-1%,3.9,9.9,-6,King
53033032325,547,526,96%,530,97%,1%,8.1,4.5,3.5,King
53033032326,"2,542","2,341",92%,"2,321",91%,-1%,21.9,42.1,-20.1,King
53033032327,"4,023","3,741",93%,"3,758",93%,0%,77.5,60.3,17.2,King
53033032328,"2,101","2,025",96%,"2,007",96%,0%,6.5,24.8,-18.2,King
53033032330,"1,149",775,67%,755,66%,-1%,41.7,61.9,-20.2,King
53033032331,356,203,57%,186,52%,-5%,21.8,39,-17.2,King
53033032332,"1,180","1,140",97%,"1,143",97%,0%,16.9,14.4,2.5,King
53033032333,"1,205",995,83%,"1,068",89%,6%,113.5,40.7,72.8,King
53033032401,"14,185","10,378",73%,"10,066",71%,-2%,145.5,457.5,-312,King
53033032402,"6,368","5,440",85%,"5,336",84%,-1%,89.9,194.4,-104.5,King
53033032500,"53,775","49,702",92%,"49,737",92%,0%,1557.5,1522.2,35.3,King
53033032601,"15,405","13,226",86%,"13,095",85%,-1%,524.3,654.8,-130.5,King
53033032603,"3,166","2,598",82%,"2,608",82%,0%,55.3,45.3,10,King
53033032604,"3,225","2,805",87%,"2,901",90%,3%,156.4,60.9,95.5,King
53033032605,"1,152","1,057",92%,"1,062",92%,0%,17.5,12.3,5.2,King
53033032703,"2,499","2,064",83%,"2,064",83%,0%,40,39.1,0.9,King
53033032704,"4,280","3,291",77%,"3,195",75%,-2%,84.4,180.4,-96,King
53033032705,"13,147","12,799",97%,"12,783",97%,0%,82,98,-16,King
53033032706,"115,234","104,417",91%,"105,613",92%,1%,2040.5,844.1,1196.5,King
53033032800,"349,292","319,751",92%,"321,918",92%,0%,7454.4,5287.9,2166.5,King
53035080101,550,496,90%,477,87%,-3%,10.8,29.8,-19,Kitsap
53035080102,580,463,80%,417,72%,-8%,13.7,59.8,-46.1,Kitsap
53035080200,615,491,80%,443,72%,-8%,5.4,53.4,-48,Kitsap
53035080300,410,335,82%,302,74%,-8%,11.9,45.2,-33.2,Kitsap
53035080400,713,650,91%,622,87%,-4%,6.5,34.1,-27.6,Kitsap
53035080500,264,142,54%,130,49%,-5%,8.9,20.7,-11.7,Kitsap
53035080600,579,512,89%,495,86%,-3%,8.2,25.5,-17.3,Kitsap
53035080700,917,814,89%,801,87%,-2%,15.5,28.5,-13.1,Kitsap
53035080800,279,243,87%,235,84%,-3%,6,14,-8,Kitsap
53035080900,"3,563","2,891",81%,"2,722",76%,-5%,46.4,215.5,-169.1,Kitsap
53035081000,763,575,75%,533,70%,-5%,16.9,59.1,-42.2,Kitsap
53035081100,356,296,83%,281,79%,-4%,4.9,19.1,-14.2,Kitsap
53035081200,216,182,84%,161,74%,-10%,3.9,25.4,-21.5,Kitsap
53035081400,406,93,23%,85,21%,-2%,5.7,14,-8.2,Kitsap
53035090101,"11,462","10,536",92%,"10,079",88%,-4%,180.9,638.7,-457.9,Kitsap
53035090102,"11,833","10,632",90%,"10,454",88%,-2%,100.3,278.2,-177.9,Kitsap
53035090201,"3,953","3,538",89%,"3,486",88%,-1%,62.9,114.9,-52,Kitsap
53035090202,"12,919","11,924",92%,"11,446",89%,-3%,159.4,637.9,-478.6,Kitsap
53035090300,"7,079","6,107",86%,"6,079",86%,0%,106.1,134.4,-28.3,Kitsap
53035090400,"5,793","5,250",91%,"5,159",89%,-2%,57.5,148.4,-90.9,Kitsap
53035090501,"1,428","1,214",85%,"1,191",83%,-2%,28.9,52,-23.1,Kitsap
53035090502,"1,739","1,557",90%,"1,516",87%,-3%,35.3,76.2,-40.9,Kitsap
53035090700,"4,279","3,833",90%,"3,792",89%,-1%,22.2,63.6,-41.4,Kitsap
53035090800,"4,530","4,173",92%,"4,132",91%,-1%,22.7,63.8,-41.1,Kitsap
53035090901,609,524,86%,513,84%,-2%,10.1,20.8,-10.6,Kitsap
53035090902,"1,310","1,161",89%,"1,149",88%,-1%,16.1,28.5,-12.3,Kitsap
53035091001,"3,530","3,300",93%,"3,277",93%,0%,23.2,46.2,-23,Kitsap
53035091002,"3,611","3,355",93%,"3,303",91%,-2%,22.6,75.1,-52.6,Kitsap
53035091100,"4,985","4,315",87%,"4,202",84%,-3%,51.2,164.4,-113.2,Kitsap
53035091201,"1,430","1,082",76%,"1,035",72%,-4%,36.3,83.3,-47,Kitsap
53035091204,880,754,86%,725,82%,-4%,16.4,45.1,-28.7,Kitsap
53035091205,"1,071","1,000",93%,955,89%,-4%,6.4,52.1,-45.7,Kitsap
53035091206,475,461,97%,443,93%,-4%,4.7,22.6,-17.9,Kitsap
53035091301,"8,669","8,402",97%,"8,309",96%,-1%,25.2,118.6,-93.4,Kitsap
53035091302,"8,465","7,973",94%,"7,886",93%,-1%,54.9,142.5,-87.6,Kitsap
53035091400,"2,026","1,877",93%,"1,826",90%,-3%,14.6,66,-51.4,Kitsap
53035091500,"1,251","1,127",90%,"1,092",87%,-3%,10.1,44.6,-34.5,Kitsap
53035091600,"1,250","1,181",94%,"1,149",92%,-2%,18.2,50,-31.8,Kitsap
53035091701,"1,332","1,284",96%,"1,272",96%,0%,9.9,22,-12.1,Kitsap
53035091702,529,509,96%,502,95%,-1%,7.6,14.8,-7.2,Kitsap
53035091800,"1,630","1,519",93%,"1,501",92%,-1%,18.7,36.9,-18.2,Kitsap
53035091900,973,901,93%,859,88%,-5%,11.2,52.9,-41.7,Kitsap
53035092000,"48,236","46,490",96%,"46,246",96%,0%,584.9,828.8,-243.9,Kitsap
53035092101,"11,650","10,589",91%,"10,281",88%,-3%,133.6,440.9,-307.3,Kitsap
53035092102,"5,708","5,026",88%,"4,928",86%,-2%,131.5,228.9,-97.4,Kitsap
53035092200,"1,359","1,262",93%,"1,244",91%,-2%,17,35.4,-18.4,Kitsap
53035092300,"1,840","1,614",88%,"1,552",84%,-4%,34.6,96.4,-61.8,Kitsap
53035092400,"1,509","1,388",92%,"1,365",90%,-2%,15.6,38.3,-22.7,Kitsap
53035092500,"2,994","2,787",93%,"2,715",91%,-2%,25.5,97.4,-71.9,Kitsap
53035092600,"3,007","2,697",90%,"2,648",88%,-2%,38.2,86.9,-48.7,Kitsap
53035092701,"6,306","5,618",89%,"5,553",88%,-1%,34.4,98.9,-64.5,Kitsap
53035092704,"4,468","4,147",93%,"4,085",91%,-2%,28,90.5,-62.5,Kitsap
53035092801,"2,950","2,716",92%,"2,670",91%,-1%,39.5,85.4,-45.9,Kitsap
53035092802,"6,538","6,147",94%,"6,054",93%,-1%,36.1,129.1,-93.1,Kitsap
53035092803,"4,514","4,134",92%,"4,076",90%,-2%,21.7,79.1,-57.4,Kitsap
53035092901,"17,709","16,802",95%,"16,715",94%,-1%,231.6,318.6,-87,Kitsap
53035092902,"6,883","5,949",86%,"5,861",85%,-1%,59.2,147.3,-88.1,Kitsap
53035940000,"3,388","3,159",93%,"3,134",92%,-1%,14.9,40.9,-26,Kitsap
53035940100,"6,960","6,336",91%,"6,217",89%,-2%,44.7,163.5,-118.8,Kitsap
53053060200,"3,863",508,13%,437,11%,-2%,96.2,167.5,-71.3,Pierce
53053060300,"1,397","1,202",86%,"1,172",84%,-2%,17.7,47.9,-30.2,Pierce
53053060400,626,590,94%,567,91%,-3%,6.4,29,-22.6,Pierce
53053060500,531,489,92%,481,91%,-1%,3.4,11.3,-8,Pierce
53053060600,526,456,87%,438,83%,-4%,8.5,26.2,-17.7,Pierce
53053060700,520,459,88%,440,84%,-4%,9.7,29.2,-19.4,Pierce
53053060800,638,568,89%,528,83%,-6%,12.4,52.4,-40,Pierce
53053060903,577,521,90%,512,89%,-1%,6.7,16.1,-9.4,Pierce
53053060904,482,423,88%,399,83%,-5%,10.7,34.4,-23.7,Pierce
53053060906,389,269,69%,250,64%,-5%,11.8,30.4,-18.6,Pierce
53053060907,321,283,88%,260,81%,-7%,6.7,29.6,-22.9,Pierce
53053060908,432,381,88%,357,83%,-5%,4.1,27.3,-23.2,Pierce
53053061001,713,633,89%,611,86%,-3%,7.7,28.9,-21.2,Pierce
53053061002,751,501,67%,475,63%,-4%,27.6,53.8,-26.2,Pierce
53053061100,"1,086",855,79%,829,76%,-3%,37.7,63.2,-25.6,Pierce
53053061200,467,392,84%,361,77%,-7%,11.8,43.2,-31.4,Pierce
53053061300,389,294,75%,250,64%,-11%,7.3,50.7,-43.4,Pierce
53053061400,229,122,53%,109,47%,-6%,10.1,23.9,-13.8,Pierce
53053061501,135,77,57%,74,55%,-2%,6.4,9.2,-2.8,Pierce
53053061502,154,117,76%,108,70%,-6%,3.4,12.2,-8.7,Pierce
53053061601,188,33,17%,37,20%,3%,11.2,6.6,4.5,Pierce
53053061602,261,109,42%,94,36%,-6%,10.1,25.1,-15,Pierce
53053061700,653,457,70%,420,64%,-6%,24.8,62,-37.2,Pierce
53053061800,342,245,72%,203,59%,-13%,8,49.6,-41.6,Pierce
53053061900,257,202,78%,174,68%,-10%,4.8,32.4,-27.6,Pierce
53053062000,519,410,79%,357,69%,-10%,7.8,60.2,-52.4,Pierce
53053062300,607,501,83%,476,78%,-5%,26,51.5,-25.6,Pierce
53053062400,560,483,86%,449,80%,-6%,14.6,48.5,-34,Pierce
53053062501,412,348,84%,313,76%,-8%,10.9,45.6,-34.7,Pierce
53053062502,305,261,86%,242,79%,-7%,4.7,24,-19.3,Pierce
53053062600,"1,719",551,32%,481,28%,-4%,49.9,119.9,-70,Pierce
53053062801,933,586,63%,551,59%,-4%,30.3,65.5,-35.3,Pierce
53053062802,744,436,59%,379,51%,-8%,19.8,76.4,-56.6,Pierce
53053062901,239,181,76%,159,66%,-10%,9.8,32,-22.2,Pierce
53053062902,498,330,66%,243,49%,-17%,8.4,95.6,-87.2,Pierce
53053063000,545,356,65%,310,57%,-8%,18.5,64.8,-46.4,Pierce
53053063100,605,510,84%,469,77%,-7%,14.6,56.1,-41.5,Pierce
53053063200,584,486,83%,448,77%,-6%,14.9,53.2,-38.2,Pierce
53053063301,466,410,88%,401,86%,-2%,8.1,17.6,-9.5,Pierce
53053063302,370,286,77%,271,73%,-4%,15.4,31,-15.7,Pierce
53053063401,477,407,85%,382,80%,-5%,10.3,35.2,-24.9,Pierce
53053063402,477,400,84%,365,77%,-7%,9.5,44,-34.5,Pierce
53053063501,475,383,81%,344,73%,-8%,8.5,47.2,-38.6,Pierce
53053063502,479,416,87%,370,77%,-10%,10.2,55.7,-45.5,Pierce
53053070100,"471,694","402,175",85%,"400,297",85%,0%,10442.9,12320.5,-1877.6,Pierce
53053070204,"1,294",960,74%,940,73%,-1%,16.3,35.8,-19.4,Pierce
53053070205,"4,758","2,973",62%,"2,871",60%,-2%,53.3,155.1,-101.9,Pierce
53053070206,"9,739","8,836",91%,"8,560",88%,-3%,95.8,371.2,-275.4,Pierce
53053070207,"8,292","6,783",82%,"6,551",79%,-3%,101.3,333.7,-232.4,Pierce
53053070208,"5,490","4,827",88%,"4,208",77%,-11%,214.6,833.2,-618.6,Pierce
53053070209,"3,426","3,028",88%,"2,963",86%,-2%,166.6,232,-65.3,Pierce
53053070307,"6,072","4,312",71%,"4,292",71%,0%,114.7,135.5,-20.7,Pierce
53053070308,813,759,93%,746,92%,-1%,12.3,25.1,-12.9,Pierce
53053070309,"2,695","2,058",76%,"2,027",75%,-1%,68.7,99,-30.3,Pierce
53053070310,"1,401","1,219",87%,"1,189",85%,-2%,38.3,68.4,-30.1,Pierce
53053070311,"1,232","1,053",85%,"1,016",82%,-3%,18,55.4,-37.3,Pierce
53053070312,"2,052","1,395",68%,"1,396",68%,0%,90.1,89.2,0.9,Pierce
53053070313,"3,196","2,896",91%,"2,783",87%,-4%,63.4,176.3,-113,Pierce
53053070314,892,800,90%,752,84%,-6%,29.4,77.8,-48.4,Pierce
53053070315,"1,906","1,649",87%,"1,691",89%,2%,95.6,53.6,42,Pierce
53053070316,861,719,83%,759,88%,5%,67.6,27.5,40.1,Pierce
53053070401,"2,402","1,398",58%,"1,287",54%,-4%,49.5,160.3,-110.8,Pierce
53053070403,"3,410","1,866",55%,"1,844",54%,-1%,110.6,133.4,-22.9,Pierce
53053070404,"1,324",743,56%,812,61%,5%,125.1,56.3,68.8,Pierce
53053070703,"1,432","1,113",78%,"1,049",73%,-5%,23.4,87.3,-63.9,Pierce
53053071100,"1,610","1,105",69%,"1,056",66%,-3%,34.9,83.8,-48.9,Pierce
53053071205,"1,934","1,562",81%,"1,508",78%,-3%,38.1,93,-54.9,Pierce
53053071206,"1,950","1,608",82%,"1,531",79%,-3%,38.7,115.7,-77.1,Pierce
53053071207,"1,209",990,82%,974,81%,-1%,45.1,61.3,-16.2,Pierce
53053071209,575,556,97%,544,95%,-2%,2.2,14.1,-11.9,Pierce
53053071210,"2,170","1,687",78%,"1,678",77%,-1%,71.5,80.8,-9.2,Pierce
53053071211,521,443,85%,428,82%,-3%,11.7,26.5,-14.9,Pierce
53053071212,388,340,88%,349,90%,2%,20.8,11.6,9.3,Pierce
53053071304,"1,328","1,127",85%,"1,071",81%,-4%,26.3,81.6,-55.3,Pierce
53053071305,"2,462","1,839",75%,"1,778",72%,-3%,47,108.1,-61,Pierce
53053071306,"3,024","2,476",82%,"2,408",80%,-2%,46,113.8,-67.8,Pierce
53053071307,"1,290","1,130",88%,"1,081",84%,-4%,19.4,69.3,-49.9,Pierce
53053071309,"1,022",882,86%,816,80%,-6%,19.7,85.4,-65.8,Pierce
53053071310,"1,607","1,472",92%,"1,419",88%,-4%,30.5,83.6,-53.1,Pierce
