aggregation,quintile,mode,households_in_buffer,total_households,household_shares_in_buffer
poc,High,all_hct,142138,318213,0.44667565435730155
poc,Low,all_hct,38020,314221,0.1209976417871498
poc,Low Medium,all_hct,79030,324460,0.243573938235838
poc,Medium,all_hct,102406,323510,0.31654662916138604
poc,Medium High,all_hct,119970,324709,0.3694692786464188
poc,High,light_rail,60448,318213,0.1899608124118122
poc,Low,light_rail,7848,314221,0.02497605188704765
poc,Low Medium,light_rail,26804,324460,0.08261110768661777
poc,Medium,light_rail,42888,323510,0.13257086334270965
poc,Medium High,light_rail,61541,324709,0.18952662229873518
poc,High,commuter_rail,5306,318213,0.01667436591214061
poc,Low,commuter_rail,3726,314221,0.011857896194079964
poc,Low Medium,commuter_rail,498,324460,0.0015348579177710657
poc,Medium,commuter_rail,2580,323510,0.007975023955982813
poc,Medium High,commuter_rail,4805,324709,0.014797865165425042
poc,High,ferry,1164,318213,0.0036579272374164477
poc,Low,ferry,5823,314221,0.018531543085917236
poc,Low Medium,ferry,2888,324460,0.008900943105467546
poc,Medium,ferry,3249,323510,0.010042966214336497
poc,Medium High,ferry,1854,324709,0.005709727787033929
poc,High,passenger_ferry,1164,318213,0.0036579272374164477
poc,Low,passenger_ferry,1859,314221,0.0059162182031118225
poc,Low Medium,passenger_ferry,458,324460,0.0014115761573075263
poc,Medium,passenger_ferry,764,323510,0.002361596241229019
poc,Medium High,passenger_ferry,1405,324709,0.0043269512086206415
poc,High,brt,135505,318213,0.4258311256925393
poc,Low,brt,32001,314221,0.10184233389875279
poc,Low Medium,brt,74345,324460,0.22913456204154595
poc,Medium,brt,93810,323510,0.28997558035300297
poc,Medium High,brt,112464,324709,0.3463531962464853
income,High,all_hct,127740,306760,0.41641674273047335
income,Low,all_hct,51351,304554,0.16861049272050277
income,Low Medium,all_hct,94748,338097,0.28023910297932253
income,Medium,all_hct,90778,330008,0.27507817992291095
income,Medium High,all_hct,116947,325694,0.3590701701597205
income,High,light_rail,57262,306760,0.1866671013169905
income,Low,light_rail,14003,304554,0.045978709851126565
income,Low Medium,light_rail,39055,338097,0.11551418675705492
income,Medium,light_rail,41294,330008,0.12513029987151827
income,Medium High,light_rail,47915,325694,0.14711661866660117
income,High,commuter_rail,11033,306760,0.03596622766983961
income,Low,commuter_rail,501,304554,0.0016450284678579169
income,Low Medium,commuter_rail,375,338097,0.001109149149504432
income,Medium,commuter_rail,2556,330008,0.00774526678141136
income,Medium High,commuter_rail,2450,325694,0.007522398324807948
income,High,ferry,3527,306760,0.01149758769070283
income,Low,ferry,4658,304554,0.015294496214136082
income,Low Medium,ferry,2739,338097,0.008101225387980372
income,Medium,ferry,1980,330008,0.005999854548980631
income,Medium High,ferry,2074,325694,0.006367940459449667
income,High,passenger_ferry,2549,306760,0.008309427565523537
income,Low,passenger_ferry,1371,304554,0.004501664729407592
income,Low Medium,passenger_ferry,423,338097,0.0012511202406409994
income,Medium,passenger_ferry,9,330008,2.727206613173014e-05
income,Medium High,passenger_ferry,1298,325694,0.0039853359288166195
income,High,brt,120372,306760,0.39239796583648456
income,Low,brt,46366,304554,0.1522422952908187
income,Low Medium,brt,90128,338097,0.2665743854574279
income,Medium,brt,81881,330008,0.24811822743691062
income,Medium High,brt,109378,325694,0.33583056488605867
disability,High,all_hct,73870,315150,0.23439631921307313
disability,Low,all_hct,151312,323796,0.4673065757452223
disability,Low Medium,all_hct,104410,332505,0.3140103156343514
disability,Medium,all_hct,86254,313428,0.275195579207984
disability,Medium High,all_hct,65718,320234,0.20521868383744388
disability,High,light_rail,25604,315150,0.08124385213390449
disability,Low,light_rail,71886,323796,0.2220101545417485
disability,Low Medium,light_rail,44993,332505,0.13531525841716666
disability,Medium,light_rail,35444,313428,0.11308498283497326
disability,Medium High,light_rail,21602,320234,0.06745692212569558
disability,High,commuter_rail,9495,315150,0.030128510233222276
disability,Low,commuter_rail,550,323796,0.0016986003533088735
disability,Low Medium,commuter_rail,175,332505,0.0005263078750695478
disability,Medium,commuter_rail,3083,313428,0.009836389856681598
disability,Medium High,commuter_rail,3612,320234,0.011279252046940675
disability,High,ferry,1840,315150,0.005838489608123116
disability,Low,ferry,4088,323796,0.012625233171503046
disability,Low Medium,ferry,2079,332505,0.006252537555826228
disability,Medium,ferry,5010,313428,0.015984532332784563
disability,Medium High,ferry,1961,320234,0.006123647083070505
disability,High,passenger_ferry,1114,315150,0.0035348246866571476
disability,Low,passenger_ferry,1808,323796,0.0055837626159680786
disability,Low Medium,passenger_ferry,50,332505,0.00015037367859129937
disability,Medium,passenger_ferry,2373,313428,0.007571116811516521
disability,Medium High,passenger_ferry,305,320234,0.0009524285366325874
disability,High,brt,67897,315150,0.2154434396319213
disability,Low,brt,142185,323796,0.43911907497313124
disability,Low Medium,brt,97131,332505,0.29211891550503
disability,Medium,brt,80356,313428,0.2563778603060352
disability,Medium High,brt,60556,320234,0.1890992211945015
youth,High,all_hct,30489,283948,0.10737529406792794
youth,Low,all_hct,222824,351580,0.6337789407816145
youth,Low Medium,all_hct,85341,327163,0.2608516244196318
youth,Medium,all_hct,77904,328739,0.2369782715163093
youth,Medium High,all_hct,65006,313683,0.20723469234864497
youth,High,light_rail,3830,283948,0.013488385197289645
youth,Low,light_rail,137153,351580,0.3901046703452984
youth,Low Medium,light_rail,21288,327163,0.06506848268294398
youth,Medium,light_rail,21950,328739,0.06677029497564937
youth,Medium High,light_rail,15308,313683,0.04880085946640398
youth,High,commuter_rail,753,283948,0.0026518940087621678
youth,Low,commuter_rail,9881,351580,0.028104556573183913
youth,Low Medium,commuter_rail,4323,327163,0.013213596892069092
youth,Medium,commuter_rail,1659,328739,0.005046556690870264
youth,Medium High,commuter_rail,299,313683,0.0009531915978870389
youth,Low,ferry,11696,283948,0.04119064053981715
youth,Low Medium,ferry,1791,351580,0.005094146424711303
youth,Medium,ferry,694,327163,0.0021212667691639948
youth,Medium High,ferry,797,328739,0.0024244157218948773
youth,Low,passenger_ferry,5480,283948,0.019299308324059336
youth,Low Medium,passenger_ferry,115,351580,0.00032709482905739803
youth,Medium High,passenger_ferry,55,327163,0.0001681119197464261
youth,High,brt,29966,283948,0.10553340752532153
youth,Low,brt,208203,351580,0.592192388645543
youth,Low Medium,brt,79895,327163,0.2442054877843766
youth,Medium,brt,72073,328739,0.2192407958897484
youth,Medium High,brt,57988,313683,0.18486178721830637
older,High,all_hct,55852,314151,0.1777871151134327
older,Low,all_hct,166303,323317,0.5143651586523443
older,Low Medium,all_hct,99012,325551,0.3041366790456795
older,Medium,all_hct,87357,319575,0.2733536728467496
older,Medium High,all_hct,73040,322519,0.22646727789680607
older,High,light_rail,17536,314151,0.055820290242590345
older,Low,light_rail,101283,323317,0.3132622163387635
older,Low Medium,light_rail,40028,325551,0.12295462154931178
older,Medium,light_rail,23052,319575,0.07213330204177423
older,Medium High,light_rail,17630,322519,0.054663446184565874
older,High,commuter_rail,6240,314151,0.019863059484133427
older,Low,commuter_rail,4792,323317,0.014821367264944312
older,Low Medium,commuter_rail,888,325551,0.002727683220140623
older,Medium,commuter_rail,3069,319575,0.009603379488383008
older,Medium High,commuter_rail,1926,322519,0.0059717411997432706
older,High,ferry,4518,314151,0.014381619030338914
older,Low,ferry,3706,323317,0.011462434700309602
older,Low Medium,ferry,178,325551,0.0005467653301633231
older,Medium,ferry,2011,319575,0.006292732535398576
older,Medium High,ferry,4565,322519,0.01415420486855038
older,High,passenger_ferry,488,314151,0.0015533931135027423
older,Low,passenger_ferry,3036,323317,0.009390165070194268
older,Medium,passenger_ferry,755,325551,0.002319145080187129
older,Medium High,passenger_ferry,1371,319575,0.004290072752874912
older,High,brt,48980,314151,0.15591228422000886
older,Low,brt,157316,323317,0.4865689091510808
older,Low Medium,brt,91037,325551,0.27963974922515983
older,Medium,brt,83165,319575,0.2602362512712196
older,Medium High,brt,67627,322519,0.20968377056855564
lep,High,all_hct,157765,324988,0.4854486934902212
lep,Low,all_hct,51746,306069,0.1690664523359112
lep,Low Medium,all_hct,61361,322551,0.19023658274195399
lep,Medium,all_hct,88387,323129,0.2735347183323069
lep,Medium High,all_hct,122305,328376,0.37245413793943527
lep,High,light_rail,72171,324988,0.222072814996246
lep,Low,light_rail,18196,306069,0.059450646749589144
lep,Low Medium,light_rail,24828,322551,0.07697387389901132
lep,Medium,light_rail,31746,323129,0.09824559231761928
lep,Medium High,light_rail,52588,328376,0.16014568665188686
lep,High,commuter_rail,5178,324988,0.01593289598385171
lep,Low,commuter_rail,1306,306069,0.004267011686907201
lep,Low Medium,commuter_rail,3093,322551,0.009589181245756485
lep,Medium,commuter_rail,2491,323129,0.007708995478585952
lep,Medium High,commuter_rail,4847,328376,0.014760518430092334
lep,High,ferry,1542,324988,0.004744790576882839
lep,Low,ferry,3411,306069,0.011144545837703263
lep,Low Medium,ferry,3746,322551,0.011613667296024505
lep,Medium,ferry,3878,323129,0.01200139882214224
lep,Medium High,ferry,2401,328376,0.00731174020025824
lep,High,passenger_ferry,1542,324988,0.004744790576882839
lep,Low,passenger_ferry,293,306069,0.0009573004779967916
lep,Low Medium,passenger_ferry,1621,322551,0.0050255618491339355
lep,Medium,passenger_ferry,2135,323129,0.0066072683046089955
lep,Medium High,passenger_ferry,59,328376,0.00017967208322167271
lep,High,brt,149288,324988,0.4593646534641279
lep,Low,brt,47671,306069,0.15575246104636536
lep,Low Medium,brt,54688,322551,0.1695483814962595
lep,Medium,brt,83943,323129,0.25978169709311144
lep,Medium High,brt,112535,328376,0.3427016590737447
